rebalance_date,training_end_date,universe,method,fund,ticker,weight
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,ADBE,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,AEP,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,AMD,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,AMGN,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,AMT,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,BA,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,CAT,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,CCI,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,CMCSA,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,COP,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,CVX,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,D,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,DD,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,DIS,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,DOW,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,DUK,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,EA,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,GE,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,GILD,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,GS,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,INTC,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,KO,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,MMM,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,MRK,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,MS,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,NEE,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,NEM,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,NKE,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,NUE,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,NVDA,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,O,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,OXY,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,PLD,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,PSA,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,QCOM,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,SBUX,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,SHW,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,SLB,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,SO,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,T,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,TMUS,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,TTWO,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,UPS,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,USB,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,V,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,WFC,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,WMT,0.02
2021-02-01,2021-01-29,Equity,Equal Weight,Equity Equal Weight,XOM,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,ABBV,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,ABT,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,ADBE,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,AEP,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,AMD,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,AMGN,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,AMT,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,BA,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,CAT,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,CCI,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,CMCSA,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,COP,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,CVX,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,D,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,DD,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,DIS,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,DOW,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,DUK,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,EA,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,GE,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,GILD,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,GS,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,INTC,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,KO,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,MMM,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,MRK,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,MS,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,NEE,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,NEM,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,NKE,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,NUE,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,NVDA,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,O,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,OXY,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,PLD,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,PSA,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,QCOM,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,SBUX,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,SHW,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,SLB,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,SO,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,T,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,TMUS,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,TTWO,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,UPS,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,USB,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,V,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,WFC,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,WMT,0.02
2021-03-01,2021-02-26,Equity,Equal Weight,Equity Equal Weight,XOM,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,ABBV,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,ABT,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,ADBE,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,AEP,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,AMD,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,AMGN,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,AMT,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,BA,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,CAT,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,CCI,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,CMCSA,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,COP,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,CVX,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,D,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,DD,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,DIS,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,DOW,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,DUK,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,EA,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,GE,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,GILD,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,GS,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,INTC,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,KO,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,MMM,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,MRK,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,MS,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,NEE,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,NEM,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,NKE,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,NUE,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,NVDA,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,O,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,OXY,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,PLD,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,PSA,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,QCOM,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,SBUX,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,SHW,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,SLB,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,SO,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,T,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,TMUS,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,TTWO,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,UPS,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,USB,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,V,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,WFC,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,WMT,0.02
2021-04-01,2021-03-31,Equity,Equal Weight,Equity Equal Weight,XOM,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,ABBV,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,ABT,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,ADBE,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,AEP,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,AMD,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,AMGN,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,AMT,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,BA,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,CAT,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,CCI,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,CMCSA,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,COP,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,CVX,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,D,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,DD,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,DIS,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,DOW,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,DUK,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,EA,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,GE,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,GILD,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,GS,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,INTC,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,KO,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,MMM,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,MRK,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,MS,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,NEE,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,NEM,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,NKE,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,NUE,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,NVDA,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,O,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,OXY,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,PLD,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,PSA,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,QCOM,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,SBUX,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,SHW,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,SLB,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,SO,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,T,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,TMUS,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,TTWO,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,UPS,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,USB,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,V,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,WFC,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,WMT,0.02
2021-05-03,2021-04-30,Equity,Equal Weight,Equity Equal Weight,XOM,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,ABBV,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,ABT,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,ADBE,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,AEP,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,AMD,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,AMGN,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,AMT,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,BA,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,CAT,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,CCI,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,CMCSA,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,COP,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,CVX,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,D,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,DD,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,DIS,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,DOW,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,DUK,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,EA,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,GE,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,GILD,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,GS,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,INTC,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,KO,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,MMM,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,MRK,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,MS,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,NEE,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,NEM,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,NKE,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,NUE,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,NVDA,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,O,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,OXY,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,PLD,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,PSA,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,QCOM,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,SBUX,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,SHW,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,SLB,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,SO,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,T,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,TMUS,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,TTWO,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,UPS,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,USB,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,V,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,WFC,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,WMT,0.02
2021-06-01,2021-05-28,Equity,Equal Weight,Equity Equal Weight,XOM,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,ABBV,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,ABT,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,ADBE,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,AEP,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,AMD,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,AMGN,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,AMT,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,BA,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,CAT,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,CCI,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,CMCSA,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,COP,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,CVX,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,D,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,DD,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,DIS,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,DOW,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,DUK,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,EA,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,GE,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,GILD,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,GS,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,INTC,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,KO,0.02
2021-07-01,2021-06-30,Equity,Equal Weight,Equity Equal Weight,MMM,0.02
